Case ID,FG_massflow(kg/h),FG_co2_cons(mol_ratio)_i,FG_temp(C)_i,LA_massflow(kg/h),LA_temp(C)_i,WWT_flowrate(kg/h),WWB_flowrate(kg/h),RA_to_Reg_temp_i,Reb_duty(kJ/h),LA_cool_duty(kJ/h),WWT_cool_duty(kJ/h),WWT_cool_duty2(kJ/h),MEA_emission_ppm(mass_ratio),CO2_massflow_offgas(kg/h),MEA_emission(kg/h),FG_flowrate(Sm3/h),L/G (kg/kg)_i,L/G (kg/Sm3),Lean_loading(mol/mol)_i,Cap_co2(kg/h),Cap_eff(%)_o,Rich_loading(mol/mol)_o,RA_flowrate(kg/h),RA_temp_after_abs_o,Reb_duty(KJ/h),Cond_duty(kJ/h),SRD(MJ/kgco2)_o,SCD(MJ/kgco2)_o,Co2_purity(%mol)_o,Co2_prod_flowrate(kg/h),Reg_bttm_temp,Reg_bttm_flowrate(kg/h),LA_temp_after_HE_,HE_left_min_apprch_i,HE_right_min_apprch,LMTD,MEA_mkp(kg/h),Abs_ht(m)_i,SLAD(MJ/kgco2)_o,FG_co2_cons(%mol)
Case#1,72100,0.0905,20,100000,30,55000,55000,103,20000000,1480000,2650000,3940000,0.2117,4239,2.12E-07,57700,1.388,1.735,0.2492,5474,56.36,0.5021,105000,23.92,20000000,6320000,3.654,1.154,0.9852,5504,119.8,99100,34.49,10.57,16.84,13.46,4.937,24,0.270369017,9.05
Case#2,72100,0.0905,20,100000,30,55000,55000,103,28000000,2750000,3410000,4770000,0.4387,2728,4.39E-07,57700,1.388,1.735,0.1781,6985,71.91,0.5011,106000,24.22,28000000,10200000,4.009,1.459,0.9857,7030,121.9,98600,38.04,13.82,18.85,16.21,11.88,24,0.393700787,9.05
Case#3,72100,0.0905,20,100000,30,55000,55000,103,36000000,3300000,3790000,5150000,0.621,1945,6.21E-07,57700,1.388,1.735,0.1413,7769,79.98,0.5007,106000,24.41,36000000,16200000,4.634,2.083,0.9859,7817,122.5,98300,39.51,15.09,19.51,17.21,17.51,24,0.424765092,9.05
Case#4,72100,0.0905,20,100000,30,55000,55000,103,44000000,3630000,4000000,5360000,0.7633,1467,7.63E-07,57700,1.388,1.735,0.1188,8246,84.9,0.5004,107000,24.57,44000000,23000000,5.336,2.788,0.986,8296,122.8,98200,40.34,15.77,19.82,17.71,21.9,24,0.440213437,9.05
Case#5,72100,0.0905,20,100000,30,55000,55000,103,52000000,3860000,4150000,5510000,0.8806,1133,8.81E-07,57700,1.388,1.735,0.103,8581,88.34,0.5002,107000,24.72,52000000,30200000,6.06,3.515,0.9861,8632,123,98000,40.92,16.21,20,18.04,25.52,24,0.449831022,9.05
Case#6,72100,0.0905,20,100000,30,55000,55000,104.5,20000000,235000,2730000,4030000,0.229,4087,2.29E-07,57700,1.388,1.735,0.242,5627,57.93,0.502,105000,23.95,20000000,7260000,3.555,1.291,0.9852,5655,120.1,99000,30.67,6.72,15.6,10.54,5.455,24,0.041762929,9.05
Case#7,72100,0.0905,20,100000,30,55000,55000,104.5,28000000,1380000,3440000,4790000,0.4487,2679,4.49E-07,57700,1.388,1.735,0.1758,7035,72.42,0.5011,106000,24.23,28000000,11400000,3.98,1.627,0.9857,7081,121.9,98600,34,9.772,17.4,13.22,12.19,24,0.196162047,9.05
Case#8,72100,0.0905,20,100000,30,55000,55000,104.5,36000000,1900000,3800000,5160000,0.6264,1925,6.26E-07,57700,1.388,1.735,0.1404,7788,80.18,0.5007,106000,24.42,36000000,17500000,4.622,2.25,0.9859,7837,122.5,98300,35.44,11.02,18.02,14.24,17.68,24,0.243965074,9.05
Case#9,72100,0.0905,20,100000,30,55000,55000,104.5,44000000,2210000,4010000,5370000,0.7671,1455,7.67E-07,57700,1.388,1.735,0.1182,8258,85.02,0.5004,107000,24.58,44000000,24400000,5.328,2.95,0.986,8308,122.8,98200,36.29,11.71,18.32,14.77,22.02,24,0.267619278,9.05
Case#10,72100,0.0905,20,100000,30,55000,55000,104.5,52000000,2440000,4150000,5510000,0.8836,1125,8.84E-07,57700,1.388,1.735,0.1026,8589,88.42,0.5002,107000,24.72,52000000,31500000,6.055,3.672,0.9861,8640,123,98000,36.89,12.16,18.5,15.11,25.61,24,0.284084294,9.05
Case#11,72100,0.0905,20,100000,30,55000,55000,106,36000000,333000,3810000,5170000,0.6321,1904,6.32E-07,57700,1.388,1.735,0.1394,7809,80.4,0.5007,106000,24.43,36000000,19000000,4.61,2.436,0.9859,7858,122.5,98300,30.89,6.464,16.54,10.72,17.85,24,0.042643104,9.05
Case#12,72100,0.0905,20,100000,30,55000,55000,106,44000000,637000,4010000,5370000,0.7711,1443,7.71E-07,57700,1.388,1.735,0.1177,8270,85.14,0.5004,107000,24.58,44000000,25900000,5.32,3.129,0.986,8320,122.8,98200,31.75,7.169,16.83,11.32,22.15,24,0.077025393,9.05
