CO2_concentration,Cap_eff(%),HE_left_min_apprch,FG_co2_cons(mol_ratio)_i,FG_temp(C)_i,LA_temp(C)_i,RA_to_Reg_temp_i,L/G (kg/kg)_i,Lean_loading(mol/mol)_i,HE_left_min_apprch_i,Abs_ht(m)_i,Cap_eff(%)_o,Rich_loading(mol/mol)_o,RA_temp_after_abs_o,SRD(MJ/kgco2)_o,SCD(MJ/kgco2)_o,Co2_purity(%mol)_o,SLAD(MJ/kgco2)_o
0.124,85.0,5.0,0.124,35.0,35.0,108.49999989866848,3.8398498864372237,0.3307788062902225,5.0,24.0,85.0,0.488848645101364,47.459650977187174,3.3539373404475614,1.3700788732151874,0.985067153961339,1.475674135228919
0.124,85.0,6.0,0.124,35.0,35.0,108.49999998695272,3.7576662314933293,0.3288223136186145,6.0,24.0,85.0,0.4893734794044269,47.18994994124001,3.385163929851015,1.3523779523631203,0.9850985854577645,1.5032241451671584
0.124,85.0,7.0,0.124,35.0,35.0,108.49999981823063,3.668178561221008,0.32651859720575527,7.0,24.0,85.0,0.48996635065316174,46.8778337130139,3.415885167830389,1.334731226908794,0.985133246322754,1.5229455142979869
0.124,85.0,8.0,0.124,35.0,35.0,108.49999988064714,3.5685038718709134,0.3236944680893708,8.0,24.0,85.0,0.49065103891012457,46.50861493618802,3.4459257750928436,1.3172702444187812,0.9851724359059435,1.5323518973613708
0.124,85.0,9.0,0.124,35.0,35.0,108.49999987693353,3.453729264581432,0.32002785013945273,9.0,24.0,85.0,0.49146678469580657,46.05693736175362,3.4750794763150217,1.3002203097171445,0.9852184412893927,1.5274156219685608
0.124,85.0,10.0,0.124,35.0,35.0,108.49999980256571,3.316303980916319,0.31492630772800295,10.0,24.0,85.0,0.4924699708022327,45.4818648052552,3.5030895625172986,1.2840443311913445,0.9852750012669222,1.5020181315464898
0.124,85.0,11.0,0.124,35.0,35.0,108.49999978884385,3.1549259964147383,0.3077847532530349,11.0,24.0,85.0,0.4936516609410749,44.76539569245197,3.5296451308304726,1.269588324994752,0.9853438138940869,1.4542863090120166
0.124,85.0,12.0,0.124,35.0,35.0,108.49999985042683,3.0027771046739216,0.29984794671460563,12.0,24.0,85.0,0.4947137637021744,44.05861606616217,3.5545466949764175,1.2570015095051081,0.9854111320953558,1.4079248312150079
0.124,85.0,13.0,0.124,35.0,35.0,108.4999998401028,2.8874286281129975,0.29308283466262425,13.0,24.0,85.0,0.4954430611408762,43.5094109587198,3.577919971980308,1.245092911694716,0.9854634662651768,1.384045783725239
0.124,85.0,14.0,0.124,35.0,35.0,108.49999975102551,2.8004329407119695,0.28758881678049086,14.0,24.0,85.0,0.4959316299248866,43.09073765498183,3.5999936492884586,1.2333361105291436,0.985503366505202,1.37750736422781
0.124,85.0,15.0,0.124,35.0,35.0,108.49999974289828,2.731153985851995,0.2829956635510653,15.0,24.0,85.0,0.49627695236246605,42.75609401715043,3.6209317598343302,1.2217332109296286,0.9855351779218942,1.3810574943787273
0.124,86.0,5.0,0.124,35.0,35.0,108.499999983401,3.7563828525697667,0.3241435137128741,5.0,24.0,86.0,0.48893395553051566,47.28245724450994,3.37123023556901,1.3804571660280176,0.9851459096824167,1.4163941169011
0.124,86.0,6.0,0.124,35.0,35.0,108.49999998398678,3.6720257401439445,0.32201362694198254,6.0,24.0,86.0,0.48950190207816513,46.98842345641131,3.4011660795625094,1.3625674348571137,0.9851772801465684,1.4410306656016452
0.124,86.0,7.0,0.124,35.0,35.0,108.49999986818435,3.5788491324969525,0.31942680413528035,7.0,24.0,86.0,0.4901533651073406,46.64334557392501,3.430583854512235,1.3447722763771246,0.9852124669061983,1.4567756680794646
0.124,86.0,8.0,0.124,35.0,35.0,108.49999986919867,3.4737111645030376,0.31616170694684587,8.0,24.0,86.0,0.4909141615356021,46.23027472587657,3.4592980103622466,1.3272630262151215,0.9852529128068684,1.4609122194891746
0.124,86.0,9.0,0.124,35.0,35.0,108.49999986459059,3.3527910853509706,0.3118726635946341,9.0,24.0,86.0,0.49181282224120454,45.72704921235663,3.4870905170310227,1.3103721127361232,0.9853005374287532,1.4501279460225254
0.124,86.0,10.0,0.124,35.0,35.0,108.49999978512058,3.2164468925874794,0.30625307931841006,10.0,24.0,86.0,0.4928341678930996,45.128430585750195,3.5137185252780965,1.2946244335212167,0.9853558426491307,1.423974609036946
0.124,86.0,11.0,0.124,35.0,35.0,108.49999984896697,3.0807305810540626,0.2997727497725334,11.0,24.0,86.0,0.4938224935688669,44.506473231500294,3.538994550058823,1.2803389766774051,0.985412668411498,1.3935169640805316
0.124,86.0,12.0,0.124,35.0,35.0,108.49999976832989,2.9662470292212086,0.29361778356743307,12.0,24.0,86.0,0.49459977906967006,43.967257782844904,3.562911426803579,1.2670665400290504,0.9854618589900219,1.3739914254058703
0.124,86.0,13.0,0.124,35.0,35.0,108.49999977079813,2.8752341308525207,0.28829510328335034,13.0,24.0,86.0,0.49516143426343795,43.53217843351383,3.5855907204472195,1.2542836171575626,0.9855015746692686,1.3678140261345983
0.124,86.0,14.0,0.124,35.0,35.0,108.49999981882887,2.8015768208880742,0.28372668786550653,14.0,24.0,86.0,0.49557134000387987,43.177419963164105,3.607157812797852,1.2418204666176358,0.9855339222613028,1.3711361707396168
0.124,86.0,15.0,0.124,35.0,35.0,108.4999997364347,2.7400820970896134,0.27974826752307375,15.0,24.0,86.0,0.4958799235148683,42.88037560517081,3.627708376510527,1.2296675239585635,0.9855609208957049,1.380539845157779
0.124,87.0,5.0,0.124,35.0,35.0,108.49999997933631,3.665453368670951,0.3170667422582379,5.0,24.0,87.0,0.4890965153060793,47.06021399035963,3.3890310724036543,1.3910370796390445,0.9852258667250999,1.3531400789602943
0.124,87.0,6.0,0.124,35.0,35.0,108.49999986128277,3.578640929171536,0.31469985280226315,6.0,24.0,87.0,0.48971121601821577,46.739219324548344,3.4176280414716635,1.3730463014110161,0.9852572688616383,1.3745378552917749
0.124,87.0,7.0,0.124,35.0,35.0,108.4999997882471,3.4823607374074896,0.31177621186895554,7.0,24.0,87.0,0.4904173720292425,46.36169313866652,3.4456893955897927,1.3552312389882595,0.9852927376323259,1.3865844022167673
0.124,87.0,8.0,0.124,35.0,35.0,108.49999984894478,3.375081025369076,0.3081022106779629,8.0,24.0,87.0,0.49122493295945135,45.91738718327048,3.473030734399546,1.3378483906940495,0.9853331179065656,1.3876672019335048
0.124,87.0,9.0,0.124,35.0,35.0,108.49999985141928,3.258282605446524,0.3035466748998531,9.0,24.0,87.0,0.4921123839594123,45.40938942086741,3.4994571975105164,1.3212484934561224,0.9853782030024753,1.3782595380201101
0.124,87.0,10.0,0.124,35.0,35.0,108.49999984430521,3.1406474691164368,0.29833010695094536,10.0,24.0,87.0,0.4929904118791094,44.87707804552442,3.5248080776597943,1.3057040976894465,0.98542484775872,1.364105327425244
